# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
SNORD36A	SNORD36A	NR_002448.1		0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4
SNORD36B	SNORD36B	NR_000017.1		0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4
SNORD36C	SNORD36C	NR_000016.1		0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4
SNORD62A	SNORD62A	NR_002914.1		0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
SNORD62A	SNORD62A.2	NR_002914.1.2		0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5
SNORD62B	SNORD62B	NR_003050.1		0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
SNORD62B	SNORD62B.2	NR_003050.1.2		0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5
SPACA9	SPACA9	NM_001316897.2	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
SPACA9	SPACA9	NM_001316898.2	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
SPACA9	SPACA9	NM_001316900.2	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
SPACA9	SPACA9	NM_018956.5	protein_coding	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
SPACA9	SPACA9	NR_133631.2		0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
SPOUT1	SPOUT1	NM_016390.4	protein_coding	0	0	0	11	0	0	0	1	0	4	0	0	0	0	0	0	0	0	6
SPTAN1	SPTAN1	NM_001130438.3	protein_coding	1	2	0	16	0	0	0	3	1	13	0	0	0	0	0	0	0	2	0
SPTAN1	SPTAN1	NM_001195532.2	protein_coding	1	2	0	16	0	0	0	3	1	13	0	0	0	0	0	0	0	2	0
SPTAN1	SPTAN1	NM_001363759.2	protein_coding	1	2	0	16	0	0	0	3	1	13	0	0	0	0	0	0	0	2	0
SPTAN1	SPTAN1	NM_001363765.2	protein_coding	1	2	0	16	0	0	0	3	1	13	0	0	0	0	0	0	0	2	0
SPTAN1	SPTAN1	NM_003127.4	protein_coding	1	2	0	16	0	0	0	3	1	13	0	0	0	0	0	0	0	2	0
ST6GALNAC6	ST6GALNAC6	NM_001286999.1	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ST6GALNAC6	ST6GALNAC6	NM_001287000.1	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ST6GALNAC6	ST6GALNAC6	NM_001287001.1	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ST6GALNAC6	ST6GALNAC6	NM_001287002.1	protein_coding	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ST6GALNAC6	ST6GALNAC6	NM_001287003.1	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ST6GALNAC6	ST6GALNAC6	NM_013443.4	protein_coding	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ST6GALNAC6	ST6GALNAC6	NR_104629.1		0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
STKLD1	STKLD1	NM_153710.5	protein_coding	0	1	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0
STKLD1	STKLD1	NR_103997.2		0	0	0	12	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0
STXBP1	STXBP1	NM_001032221.5	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374306.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374307.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374308.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374309.1	protein_coding	0	1	0	28	0	1	1	0	0	26	0	0	0	0	0	0	0	0	1
STXBP1	STXBP1	NM_001374310.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374311.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374312.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374313.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374314.1	protein_coding	0	0	0	31	0	0	0	3	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_001374315.1	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
STXBP1	STXBP1	NM_003165.5	protein_coding	0	0	0	28	0	0	0	0	0	26	0	0	0	0	0	0	0	0	2
SURF1	SURF1	NM_001280787.1	protein_coding	0	0	1	6	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0
SURF1	SURF1	NM_003172.4	protein_coding	0	0	1	6	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0
SURF2	SURF2	NM_001278928.2	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
SURF2	SURF2	NM_017503.5	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
SURF4	SURF4	NM_001280788.1	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF4	SURF4	NM_001280789.2	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF4	SURF4	NM_001280790.1	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF4	SURF4	NM_001280791.1	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF4	SURF4	NM_001280792.1	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF4	SURF4	NM_001280793.1	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF4	SURF4	NM_033161.4	protein_coding	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
SURF6	SURF6	NM_001278942.2	protein_coding	0	0	2	8	4	0	0	0	0	2	2	0	0	0	0	0	0	0	2
SURF6	SURF6	NM_006753.6	protein_coding	0	0	2	8	4	0	0	0	0	2	2	0	0	0	0	0	0	0	2
SURF6	SURF6	NR_103874.2		0	0	0	10	0	0	0	0	0	2	0	6	0	0	0	0	0	0	2
SWI5	SWI5	NM_001040011.1	protein_coding	0	0	0	16	0	0	0	3	0	5	0	0	0	0	0	0	0	0	8
SWI5	SWI5	NM_001318089.1	protein_coding	0	0	0	16	0	0	0	3	0	5	0	0	0	0	0	0	0	0	8
SWI5	SWI5	NM_001318092.1	protein_coding	0	0	0	17	0	0	0	3	0	6	0	0	0	0	0	0	0	0	8
TBC1D13	TBC1D13	NM_001286772.1	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TBC1D13	TBC1D13	NM_018201.5	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
TOR1A	TOR1A	NM_000113.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TOR1B	TOR1B	NM_001317893.2	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TOR1B	TOR1B	NM_001317894.2	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TOR1B	TOR1B	NM_014506.3	protein_coding	0	0	0	6	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
TOR1B	TOR1B	NR_133948.1		0	0	0	6	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0
TOR1B	TOR1B	NR_134027.1		0	0	0	6	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0
TOR1B	TOR1B	NR_134113.2		0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001085347.3	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001134430.3	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001134431.3	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001252018.2	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001252021.2	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_001252023.2	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TOR2A	TOR2A	NM_130459.4	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
TRUB2	TRUB2	NM_001329861.2	protein_coding	0	0	0	12	2	0	0	4	0	4	0	0	0	0	0	0	0	0	2
TRUB2	TRUB2	NM_001329862.1	protein_coding	0	0	0	12	0	0	0	6	0	4	0	0	0	0	0	0	0	0	2
TRUB2	TRUB2	NM_001329863.2	protein_coding	0	0	0	12	2	0	0	4	0	4	0	0	0	0	0	0	0	0	2
TRUB2	TRUB2	NM_015679.3	protein_coding	0	0	0	12	2	0	0	4	0	4	0	0	0	0	0	0	0	0	2
TSC1	TSC1	NM_000368.5	protein_coding	0	0	0	7	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TSC1	TSC1	NM_001162426.2	protein_coding	0	0	0	7	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TSC1	TSC1	NM_001162427.2	protein_coding	0	0	0	7	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TSC1	TSC1	NM_001362177.2	protein_coding	0	0	0	7	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
TTC16	TTC16	NM_001317037.2	protein_coding	0	1	1	5	0	0	0	1	0	5	1	0	0	0	1	0	0	0	0
TTC16	TTC16	NM_144965.3	protein_coding	0	1	1	5	0	0	0	1	0	5	1	0	0	0	1	0	0	0	0
TTF1	TTF1	NM_001205296.1	protein_coding	0	1	0	22	0	0	0	1	0	21	0	0	0	0	1	0	0	0	1
TTF1	TTF1	NM_007344.4	protein_coding	0	1	0	22	0	0	0	1	0	21	0	0	0	0	1	0	0	0	1
TTF1	TTF1	NR_134525.2		0	1	0	22	0	0	0	1	0	21	0	0	0	0	1	0	0	0	1
UCK1	UCK1	NM_001135954.2	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NM_001261450.2	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NM_001261451.2	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NM_001318519.1	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NM_031432.5	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NR_134666.1		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
UCK1	UCK1	NR_134667.1		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
URM1	URM1	NM_001135947.2	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
URM1	URM1	NM_001265582.1	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
URM1	URM1	NM_030914.4	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
URM1	URM1	NR_049743.2		0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
USP20	USP20	NM_001008563.4	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
USP20	USP20	NM_001110303.4	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
USP20	USP20	NM_006676.7	protein_coding	0	0	0	8	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3
VAV2	VAV2	NM_001134398.2	protein_coding	0	0	0	135	2	0	0	3	0	127	0	0	0	0	0	0	0	0	3
VAV2	VAV2	NM_003371.4	protein_coding	0	0	0	135	2	0	0	3	0	127	0	0	0	0	0	0	0	0	3
WDR34	WDR34	NM_052844.3	protein_coding	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
WDR5	WDR5	NM_017588.3	protein_coding	0	0	2	25	0	0	0	1	0	21	2	0	0	0	1	0	0	0	3
WDR5	WDR5	NM_052821.3	protein_coding	0	0	2	24	0	0	0	1	0	21	2	0	0	0	1	0	0	0	2
ZBTB34	ZBTB34	NM_001099270.2	protein_coding	0	0	1	22	1	0	0	2	0	17	1	0	0	0	0	0	0	0	2
ZBTB43	ZBTB43	NM_001135776.1	protein_coding	0	0	0	16	3	0	0	1	0	9	0	0	0	0	0	0	0	0	3
ZBTB43	ZBTB43	NM_014007.4	protein_coding	0	0	0	16	3	0	0	1	0	9	0	0	0	0	0	0	0	0	3
ZDHHC12	ZDHHC12	NM_001318015.2	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
ZDHHC12	ZDHHC12	NM_001318016.2	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
ZDHHC12	ZDHHC12	NM_001318020.2	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
ZDHHC12	ZDHHC12	NM_001318023.2	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
ZDHHC12	ZDHHC12	NM_032799.5	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
ZER1	ZER1	NM_006336.4	protein_coding	0	0	2	43	2	0	0	4	0	36	2	0	0	0	0	0	0	0	1
ZNF79	ZNF79	NM_001286696.1	protein_coding	0	0	2	19	0	0	0	4	0	11	2	0	0	0	0	0	0	0	4
ZNF79	ZNF79	NM_001286697.1	protein_coding	0	0	2	19	0	0	0	4	0	11	2	0	0	0	0	0	0	0	4
ZNF79	ZNF79	NM_001286698.1	protein_coding	0	0	1	20	0	0	1	4	0	11	1	0	0	0	0	0	0	0	4
ZNF79	ZNF79	NM_001322260.1	protein_coding	0	0	2	19	0	0	0	4	0	11	2	0	0	0	0	0	0	0	4
ZNF79	ZNF79	NM_007135.3	protein_coding	0	0	2	19	0	0	0	4	0	11	2	0	0	0	0	0	0	0	4
